file,energy/Ha,E(LUMO)/eV,E(HOMO)/eV,gap/eV,dipole moment magnitude (a.u.)
qm7_267.xyz,-250.191954751825,0.435,-6.1904,6.6254,0.39954
qm7_2670.xyz,-346.320320433730,1.2863,-6.611,7.8973,0.81990
qm7_2671.xyz,-345.112418538474,-0.8345,-7.446,6.6115,0.39678
qm7_2672.xyz,-308.029735759712,0.2207,-6.7728,6.9935,0.60053
qm7_2673.xyz,-306.774315960167,0.0684,-7.1271,7.1955,0.71105
qm7_2674.xyz,-308.054659576452,-0.489,-5.6375,5.1485,0.72829
qm7_2675.xyz,-310.480187198528,1.3805,-7.2804,8.6609,0.56115
qm7_2676.xyz,-270.929378845770,-1.4213,-6.4159,4.9946,0.33111
qm7_2677.xyz,-309.268132454082,0.3527,-6.6158,6.9685,0.58165
qm7_2678.xyz,-346.340933296637,1.9262,-7.254,9.1802,0.46859
qm7_2679.xyz,-345.102589431947,0.2422,-7.4357,7.6779,0.53306
qm7_268.xyz,-250.196660988580,0.798,-6.1186,6.9166,0.54329
qm7_2680.xyz,-343.872599432113,0.1407,-5.7317,5.8724,0.29259
qm7_2681.xyz,-343.842557085605,0.7957,-7.6223,8.418,0.65491
qm7_2682.xyz,-342.611337492157,0.2723,-6.0329,6.3052,0.32618
qm7_2683.xyz,-345.111825756519,1.0089,-5.6651,6.674,0.11906
qm7_2684.xyz,-346.315100504201,1.3608,-7.2629,8.6237,0.33248
qm7_2685.xyz,-310.468054538044,1.7688,-6.7696,8.5384,0.57241
qm7_2686.xyz,-309.239804031273,0.6697,-6.3486,7.0183,0.54070
qm7_2687.xyz,-272.174088405097,-0.7639,-6.6989,5.935,0.14047
qm7_2688.xyz,-309.238972380798,0.4373,-6.951,7.3883,0.71800
qm7_2689.xyz,-310.469905648445,1.7816,-6.7811,8.5627,0.56762
qm7_269.xyz,-251.392939126920,1.5774,-6.0232,7.6006,0.55276
qm7_2690.xyz,-307.993510775570,1.2203,-6.4419,7.6622,0.57416
qm7_2691.xyz,-310.468776779875,1.7753,-6.9418,8.7171,0.71587
qm7_2692.xyz,-309.234952268362,0.3499,-6.9653,7.3152,0.63727
qm7_2693.xyz,-307.983226429596,1.1564,-7.1649,8.3213,0.59815
qm7_2694.xyz,-309.239436842021,0.6964,-6.8321,7.5285,0.65124
qm7_2695.xyz,-309.239415974579,0.3088,-7.0149,7.3237,0.69288
qm7_2696.xyz,-310.471785209334,1.8061,-6.9578,8.7639,0.68376
qm7_2697.xyz,-310.471978521217,1.6876,-7.4895,9.1771,0.72387
qm7_2698.xyz,-270.923726934945,-1.1625,-6.6975,5.535,0.23147
qm7_2699.xyz,-307.987584990756,0.8029,-7.0427,7.8456,0.78643
qm7_27.xyz,-174.141642949175,1.8706,-6.1363,8.0069,0.33347
qm7_270.xyz,-251.401518699820,1.7367,-6.435,8.1717,0.49904
qm7_2700.xyz,-310.470557850499,1.6752,-7.5021,9.1773,0.78525
qm7_2701.xyz,-310.464182237498,1.638,-6.9704,8.6084,0.82571
qm7_2702.xyz,-309.230140245383,0.3022,-7.0231,7.3253,0.76058
qm7_2703.xyz,-307.977932442752,1.0841,-7.1544,8.2385,0.62336
qm7_2704.xyz,-309.232369416248,0.2796,-6.9999,7.2795,0.72077
qm7_2705.xyz,-309.234456803989,0.4004,-7.1016,7.502,0.54835
qm7_2706.xyz,-310.466186536442,1.5832,-6.9737,8.5569,0.81130
qm7_2707.xyz,-307.987771136006,1.151,-7.1346,8.2856,0.83584
qm7_2708.xyz,-310.471628485350,1.8518,-7.5083,9.3601,0.77260
qm7_2709.xyz,-274.631445610447,0.74,-6.966,7.706,0.20531
qm7_271.xyz,-235.388191330056,1.9462,-7.8484,9.7946,0.04714
qm7_2710.xyz,-309.243658992596,0.4529,-6.825,7.2779,0.65835
qm7_2711.xyz,-310.473903096898,1.8791,-7.5011,9.3802,0.71759
qm7_2712.xyz,-307.992266461372,0.8427,-7.0856,7.9283,0.81166
qm7_2713.xyz,-310.477685885441,1.5318,-7.2991,8.8309,0.56250
qm7_2714.xyz,-310.475638482599,1.6231,-7.2222,8.8453,0.53586
qm7_2715.xyz,-310.463425243389,1.6942,-7.611,9.3052,0.77974
qm7_2716.xyz,-309.229548998633,0.3552,-7.4457,7.8009,0.68517
qm7_2717.xyz,-306.745519519242,-1.0108,-7.2051,6.1943,0.76222
qm7_2718.xyz,-308.008452278389,-0.98,-6.5851,5.6051,0.70829
qm7_2719.xyz,-308.006645252770,-0.8851,-6.8024,5.9173,0.66424
qm7_272.xyz,-249.021058248065,1.4011,-5.8541,7.2552,0.70953
qm7_2720.xyz,-270.928009889458,-1.2483,-6.3175,5.0692,0.16891
qm7_2721.xyz,-273.425494186020,1.6249,-7.5239,9.1488,0.08957
qm7_2722.xyz,-306.751965359990,-0.9969,-6.8549,5.858,0.72065
qm7_2723.xyz,-307.977765904928,1.0853,-7.659,8.7443,0.61216
qm7_2724.xyz,-306.752196231402,-1.0816,-6.9052,5.8236,0.67476
qm7_2725.xyz,-305.502070250905,-1.0101,-7.26,6.2499,0.70375
qm7_2726.xyz,-309.233750710323,0.5402,-7.0408,7.581,0.83293
qm7_2727.xyz,-309.235881610387,0.4925,-6.9758,7.4683,0.73800
qm7_2728.xyz,-309.234803126593,0.3983,-7.1908,7.5891,0.72871
qm7_2729.xyz,-309.229409862104,0.4467,-7.3292,7.7759,0.77331
qm7_273.xyz,-265.028111730926,0.8476,-6.9656,7.8132,0.77328
qm7_2730.xyz,-310.464836067532,1.6342,-7.606,9.2402,0.77733
qm7_2731.xyz,-309.238577476437,0.323,-6.6968,7.0198,0.88459
qm7_2732.xyz,-269.679971539451,-1.2698,-6.8758,5.606,0.38308
qm7_2733.xyz,-310.467267238381,1.6836,-7.5889,9.2725,0.68243
qm7_2734.xyz,-307.976335602429,1.1362,-7.5624,8.6986,0.86936
qm7_2735.xyz,-307.987556189816,1.3266,-7.234,8.5606,0.84596
qm7_2736.xyz,-309.234540200629,0.1935,-6.9964,7.1899,0.81467
qm7_2737.xyz,-309.232534130477,0.1599,-7.0286,7.1885,0.53342
qm7_2738.xyz,-310.465552935253,1.7847,-7.5981,9.3828,0.73478
qm7_2739.xyz,-307.982561599542,0.6982,-7.1785,7.8767,0.78446
qm7_274.xyz,-266.203841274604,0.5598,-5.9995,6.5593,0.91132
qm7_2740.xyz,-311.701287831895,1.6896,-7.5145,9.2041,0.65234
qm7_2741.xyz,-306.786284583394,-1.7547,-7.5378,5.7831,0.96772
qm7_2742.xyz,-308.038082959555,-1.2735,-6.7432,5.4697,1.00231
qm7_2743.xyz,-273.405519400264,0.269,-7.0419,7.3109,0.06172
qm7_2744.xyz,-308.036266393874,-1.145,-6.8358,5.6908,1.02163
qm7_2745.xyz,-308.023853597500,-0.915,-7.1607,6.2457,0.88242
qm7_2746.xyz,-306.785826937896,-0.9847,-6.986,6.0013,0.90639
qm7_2747.xyz,-308.036635185303,-1.6282,-7.2607,5.6325,1.43135
qm7_2748.xyz,-308.037325272538,-1.7125,-7.3745,5.662,1.06844
qm7_2749.xyz,-306.777734072498,-1.6472,-7.7152,6.068,1.47087
qm7_275.xyz,-266.184753504690,0.0628,-7.1045,7.1673,1.33400
qm7_2750.xyz,-309.262372524444,-0.436,-7.3039,6.8679,0.97600
qm7_2751.xyz,-310.472270679981,0.6514,-6.8554,7.5068,0.66843
qm7_2752.xyz,-308.041835203505,-1.7798,-6.9691,5.1893,1.15023
qm7_2753.xyz,-310.479118052789,0.475,-6.8503,7.3253,0.78377
qm7_2754.xyz,-273.397954118592,0.4491,-6.9816,7.4307,0.12292
qm7_2755.xyz,-310.480289500523,0.6048,-6.8292,7.434,0.61004
qm7_2756.xyz,-309.285701513910,-1.159,-7.0212,5.8622,1.30574
qm7_2757.xyz,-309.269418105225,-0.7133,-6.7649,6.0516,1.03161
qm7_2758.xyz,-309.250808477630,-0.7041,-6.3861,5.682,0.85663
qm7_2759.xyz,-308.052368302440,-1.9804,-6.9969,5.0165,1.93479
qm7_276.xyz,-266.143987060894,-0.1075,-6.2041,6.0966,0.10219
qm7_2760.xyz,-309.247914654553,-0.8182,-6.6753,5.8571,0.77134
qm7_2761.xyz,-308.041168871194,-1.9437,-6.8496,4.9059,1.29894
qm7_2762.xyz,-310.477474672262,0.3759,-7.142,7.5179,0.75797
qm7_2763.xyz,-310.481450323814,0.4905,-7.0363,7.5268,0.68126
qm7_2764.xyz,-309.265644836150,-0.8525,-7.0026,6.1501,1.19908
qm7_2765.xyz,-272.145233958399,0.4434,-7.1068,7.5502,0.28077
qm7_2766.xyz,-307.989468582770,-0.6048,-6.5417,5.9369,0.89599
qm7_2767.xyz,-306.784108536963,-2.0718,-7.2555,5.1837,1.86642
qm7_2768.xyz,-310.477900406462,0.4217,-7.0449,7.4666,0.71468
qm7_2769.xyz,-309.274334767930,-0.5327,-6.7711,6.2384,1.21221
qm7_277.xyz,-251.395343601023,1.7127,-6.0003,7.713,0.57504
qm7_2770.xyz,-309.267654614656,-0.4189,-6.9282,6.5093,1.01950
qm7_2771.xyz,-310.472202042420,0.5948,-7.0267,7.6215,0.43275
qm7_2772.xyz,-309.249779447270,-0.8172,-6.6141,5.7969,0.56858
qm7_2773.xyz,-308.050400442866,-2.0698,-7.23,5.1602,1.53116
qm7_2774.xyz,-309.243963216720,-0.4194,-6.8247,6.4053,0.44148
qm7_2775.xyz,-308.038024682126,-1.838,-7.121,5.283,1.03173
qm7_2776.xyz,-270.927523323057,-1.3521,-6.2835,4.9314,0.23105
qm7_2777.xyz,-310.480967804493,0.4515,-7.1704,7.6219,0.38742
qm7_2778.xyz,-307.994070919179,-0.7743,-6.7613,5.987,0.56091
qm7_2779.xyz,-306.788339645545,-2.1887,-7.4422,5.2535,1.46895
qm7_278.xyz,-267.404634535443,1.7403,-5.9208,7.6611,0.82126
qm7_2780.xyz,-309.278679447290,-0.5958,-6.808,6.2122,0.86879
qm7_2781.xyz,-309.267615233927,-0.4554,-7.0585,6.6031,0.99986
qm7_2782.xyz,-309.246421423213,-0.847,-6.5869,5.7399,0.63830
qm7_2783.xyz,-308.045785608586,-2.0615,-7.1586,5.0971,1.59138
qm7_2784.xyz,-309.274330148917,-0.6453,-6.9359,6.2906,0.98813
qm7_2785.xyz,-311.702014604938,1.6588,-7.5119,9.1707,0.63781
qm7_2786.xyz,-310.480018366478,0.4311,-6.8133,7.2444,0.65192
qm7_2787.xyz,-269.673719922181,-1.5122,-6.5915,5.0793,0.21709
qm7_2788.xyz,-310.476518442785,0.5319,-6.5996,7.1315,0.73132
qm7_2789.xyz,-309.278519027908,-1.3263,-7.0411,5.7148,1.54076
qm7_279.xyz,-251.396344586330,1.6892,-6.5671,8.2563,0.51142
qm7_2790.xyz,-309.280474045597,-1.1959,-6.9664,5.7705,1.58296
qm7_2791.xyz,-309.269071270606,-0.6302,-6.8125,6.1823,1.28338
qm7_2792.xyz,-309.264506888574,-0.8683,-7.1431,6.2748,0.96169
qm7_2793.xyz,-311.702454639351,1.4876,-7.4607,8.9483,0.63852
qm7_2794.xyz,-310.496594530673,-0.5924,-7.1526,6.5602,1.04323
qm7_2795.xyz,-310.472519243279,0.3375,-7.1688,7.5063,0.74806
qm7_2796.xyz,-309.272881538517,-1.4579,-7.1806,5.7227,1.55769
qm7_2797.xyz,-310.473087564764,0.3946,-7.2214,7.616,0.42582
qm7_2798.xyz,-272.182224762868,-1.259,-6.0952,4.8362,0.11693
qm7_2799.xyz,-309.273111582139,-1.5735,-7.3719,5.7984,1.04077
qm7_28.xyz,-172.899816023082,2.0574,-6.5747,8.6321,0.46323
qm7_280.xyz,-251.390058465106,1.8732,-5.9674,7.8406,0.25478
qm7_2800.xyz,-311.702697123012,1.5022,-7.5447,9.0469,0.62745
qm7_2801.xyz,-311.711794060152,1.4519,-7.4717,8.9236,0.57114
qm7_2802.xyz,-310.496515506803,-0.45,-7.1075,6.6575,1.06656
qm7_2803.xyz,-309.218476973493,0.8797,-6.9829,7.8626,0.54502
qm7_2804.xyz,-308.014886379180,-1.5888,-7.6472,6.0584,1.53628
qm7_2805.xyz,-311.709201980128,1.5271,-7.5781,9.1052,0.55375
qm7_2806.xyz,-310.509760122050,-0.1875,-7.0689,6.8814,1.00637
qm7_2807.xyz,-310.497561308356,-0.3715,-7.2835,6.912,1.00744
qm7_2808.xyz,-308.020040796316,-0.4516,-7.1119,6.6603,0.83616
qm7_2809.xyz,-270.929734779459,-1.3912,-6.3819,4.9907,0.34269
qm7_281.xyz,-265.009701908925,0.1753,-5.8017,5.977,0.96058
qm7_2810.xyz,-309.262842747739,-0.483,-7.0083,6.5253,1.01983
qm7_2811.xyz,-308.012597996997,-0.6909,-7.3924,6.7015,0.89734
qm7_2812.xyz,-309.226263186697,1.3387,-7.0269,8.3656,0.68319
qm7_2813.xyz,-308.000672035586,-0.7218,-6.6192,5.8974,0.77157
qm7_2814.xyz,-306.800346874722,-2.1371,-7.249,5.1119,1.79155
qm7_2815.xyz,-308.000302378518,-0.6576,-6.8159,6.1583,0.86469
qm7_2816.xyz,-306.795708178974,-1.8366,-7.1014,5.2648,1.05871
qm7_2817.xyz,-309.228375627904,1.3022,-7.0529,8.3551,0.63714
qm7_2818.xyz,-309.232517143536,1.1864,-7.2116,8.398,0.72194
qm7_2819.xyz,-308.018243448370,-0.6565,-7.0819,6.4254,1.15898
qm7_282.xyz,-235.390096977193,1.9547,-7.9108,9.8655,0.02080
qm7_2820.xyz,-273.398783631957,0.177,-7.0656,7.2426,0.12607
qm7_2821.xyz,-306.749483122357,-0.3538,-6.9724,6.6186,0.88506
qm7_2822.xyz,-305.524370509463,-2.1822,-7.7819,5.5997,1.67577
qm7_2823.xyz,-309.232785062690,1.3207,-7.0296,8.3503,0.64890
qm7_2824.xyz,-308.030245952796,-0.2794,-6.9031,6.6237,1.23908
qm7_2825.xyz,-308.021634332359,-0.5338,-7.0875,6.5537,1.05823
qm7_2826.xyz,-310.475143580427,0.2883,-7.1438,7.4321,0.73359
qm7_2827.xyz,-310.476350180754,0.4923,-6.8995,7.3918,0.63080
qm7_2828.xyz,-309.278170932402,-1.2995,-7.1808,5.8813,1.39074
qm7_2829.xyz,-310.475952137106,0.3529,-7.0938,7.4467,0.70728
qm7_283.xyz,-267.399472045890,1.5495,-6.7176,8.2671,0.86350
qm7_2830.xyz,-309.281277859073,-1.2435,-7.0301,5.7866,1.14525
qm7_2831.xyz,-273.408412877340,-0.4486,-6.0952,5.6466,0.34019
qm7_2832.xyz,-274.664095977352,1.7216,-8.4504,10.172,0.01608
qm7_2833.xyz,-309.264575041353,-0.7328,-7.0271,6.2943,1.17598
qm7_2834.xyz,-310.475895726855,0.2915,-7.1816,7.4731,0.78357
qm7_2835.xyz,-310.477059698345,0.4234,-7.2375,7.6609,0.40567
qm7_2836.xyz,-309.280298597427,-1.4477,-7.1887,5.741,1.03558
qm7_2837.xyz,-309.265207149572,-0.805,-7.1258,6.3208,0.82215
qm7_2838.xyz,-309.274569474865,-1.4658,-7.1402,5.6744,1.31668
qm7_2839.xyz,-309.263028411845,-0.8443,-7.1851,6.3408,0.93648
qm7_284.xyz,-266.230630594758,1.0162,-6.246,7.2622,1.18833
qm7_2840.xyz,-311.700169146639,1.5143,-7.4431,8.9574,0.67729
qm7_2841.xyz,-310.473638412473,0.3908,-6.8435,7.2343,0.83932
qm7_2842.xyz,-309.274237689151,-1.4069,-7.0138,5.6069,1.68297
qm7_2843.xyz,-272.157522032688,-0.3106,-6.2875,5.9769,0.38631
qm7_2844.xyz,-311.705281903236,1.4327,-7.4926,8.9253,0.57682
qm7_2845.xyz,-310.499173001686,-0.4156,-7.1447,6.7291,1.01932
qm7_2846.xyz,-311.707030408726,1.5359,-7.5131,9.049,0.61423
qm7_2847.xyz,-310.508333092937,-0.1995,-6.9747,6.7752,1.01903
qm7_2848.xyz,-310.497384045536,-0.4253,-7.278,6.8527,0.92686
qm7_2849.xyz,-311.702482111848,1.5079,-7.5301,9.038,0.61099
qm7_285.xyz,-265.044705336012,0.9279,-6.2765,7.2044,1.58555
qm7_2850.xyz,-310.496029958561,-0.4524,-7.1068,6.6544,1.05670
qm7_2851.xyz,-309.225378163431,1.3332,-7.0881,8.4213,0.63464
qm7_2852.xyz,-309.223372799288,1.047,-6.9986,8.0456,0.52094
qm7_2853.xyz,-308.026620428229,-1.2073,-7.3853,6.178,1.42734
qm7_2854.xyz,-273.408345231634,-0.3935,-6.0918,5.6983,0.34524
qm7_2855.xyz,-308.016559377136,-0.6816,-7.1874,6.5058,1.10443
qm7_2856.xyz,-310.471499357358,0.347,-7.1488,7.4958,0.77667
qm7_2857.xyz,-309.271870039454,-1.4701,-7.1852,5.7151,1.58823
qm7_2858.xyz,-310.472945902801,0.3652,-7.2031,7.5683,0.40734
qm7_2859.xyz,-309.272592783506,-1.606,-7.3825,5.7765,1.03315
qm7_286.xyz,-263.747195258479,-2.9027,-7.4183,4.5156,2.08866
qm7_2860.xyz,-311.702747644433,1.7005,-7.4848,9.1853,0.64571
qm7_2861.xyz,-311.711955345991,1.4189,-7.5183,8.9372,0.53590
qm7_2862.xyz,-310.495920707218,-0.4293,-7.124,6.6947,1.05781
qm7_2863.xyz,-309.221889411422,0.9799,-7.1901,8.17,0.83594
qm7_2864.xyz,-308.014740058128,-1.573,-7.6496,6.0766,1.62192
qm7_2865.xyz,-273.401191882576,0.2446,-6.6601,6.9047,0.28396
qm7_2866.xyz,-311.708134753239,1.5806,-7.5759,9.1565,0.58751
qm7_2867.xyz,-310.508047581867,-0.1434,-7.0552,6.9118,1.05506
qm7_2868.xyz,-310.496836841813,-0.3718,-7.2799,6.9081,0.97980
qm7_2869.xyz,-311.689455563473,1.8274,-7.216,9.0434,0.41230
qm7_287.xyz,-264.976505733335,-0.7932,-5.7485,4.9553,0.82480
qm7_2870.xyz,-310.457125319428,0.5033,-7.0123,7.5156,0.43195
qm7_2871.xyz,-310.472644288179,1.2603,-6.0583,7.3186,0.23085
qm7_2872.xyz,-310.459307153829,0.5247,-7.0201,7.5448,0.45960
qm7_2873.xyz,-311.691913136482,1.6705,-7.2593,8.9298,0.41729
qm7_2874.xyz,-310.468612950018,1.1044,-5.8815,6.9859,0.49445
qm7_2875.xyz,-311.695423700752,1.6462,-7.1179,8.7641,0.45700
qm7_2876.xyz,-272.148108297783,0.5233,-6.8458,7.3691,0.44225
qm7_2877.xyz,-311.694189554429,1.6941,-7.1876,8.8817,0.43740
qm7_2878.xyz,-309.206588689850,1.0111,-6.9939,8.005,0.37454
qm7_2879.xyz,-310.467105951818,1.2527,-6.229,7.4817,0.40083
qm7_288.xyz,-264.974463863643,-1.3311,-7.4252,6.0941,1.85681
qm7_2880.xyz,-310.472841113093,1.1973,-6.3986,7.5959,0.27197
qm7_2881.xyz,-311.694337376560,1.8284,-7.1868,9.0152,0.45341
qm7_2882.xyz,-345.153903538966,-0.9749,-7.6344,6.6595,1.87393
qm7_2883.xyz,-345.151084631388,-0.2992,-7.3649,7.0657,1.98721
qm7_2884.xyz,-345.152127512437,-0.3491,-7.4829,7.1338,1.69574
qm7_2885.xyz,-345.147757581626,-0.5039,-7.5553,7.0514,1.66962
qm7_2886.xyz,-345.152115877391,-0.9753,-7.4987,6.5234,2.09226
qm7_2887.xyz,-273.393886476904,0.5205,-7.2831,7.8036,0.14629
qm7_2888.xyz,-346.380107121901,0.5671,-7.6286,8.1957,1.66429
qm7_2889.xyz,-346.379523629227,0.4509,-7.8241,8.275,1.57745
qm7_289.xyz,-266.200670166091,0.4717,-6.0231,6.4948,0.85307
qm7_2890.xyz,-343.893729891870,0.2213,-7.765,7.9863,1.54514
qm7_2891.xyz,-343.904158080098,0.4626,-7.548,8.0106,1.99607
qm7_2892.xyz,-345.147691228373,-1.2506,-7.7372,6.4866,2.08506
qm7_2893.xyz,-345.148776678186,-1.2601,-7.9113,6.6512,1.58937
qm7_2894.xyz,-346.378788433998,0.3957,-7.7298,8.1255,1.60087
qm7_2895.xyz,-343.894884792362,-0.9969,-7.9042,6.9073,2.11566
qm7_2896.xyz,-346.377637043258,0.5197,-7.8076,8.3273,1.64362
qm7_2897.xyz,-311.694395231589,1.8724,-7.175,9.0474,0.39214
qm7_2898.xyz,-272.141514073402,0.4964,-7.4264,7.9228,0.23585
qm7_2899.xyz,-306.780428385938,-1.1339,-7.0322,5.8983,0.94927
qm7_29.xyz,-174.134013926176,1.7355,-5.9279,7.6634,0.17015
qm7_290.xyz,-265.025253851067,0.8227,-6.7876,7.6103,0.90255
qm7_2900.xyz,-306.770289254849,-0.8575,-7.4554,6.5979,0.81891
qm7_2901.xyz,-308.039737607571,-1.5649,-7.1901,5.6252,1.02981
qm7_2902.xyz,-306.778756446153,-1.6581,-7.5398,5.8817,1.12866
qm7_2903.xyz,-309.234824107672,0.3004,-6.6181,6.9185,0.28184
qm7_2904.xyz,-306.786496864014,-1.8568,-7.1549,5.2981,1.49801
qm7_2905.xyz,-309.242496238380,0.5895,-6.4425,7.032,0.68131
qm7_2906.xyz,-309.247251619377,-0.5961,-6.4675,5.8714,0.81459
qm7_2907.xyz,-307.991147187276,-0.6366,-6.7341,6.0975,0.88692
qm7_2908.xyz,-308.049720993410,-1.9313,-7.1531,5.2218,0.99576
qm7_2909.xyz,-274.630248513737,0.4993,-7.2571,7.7564,0.12822
qm7_291.xyz,-251.398828962031,1.7259,-6.5536,8.2795,0.69592
qm7_2910.xyz,-306.789326450707,-1.9538,-7.6027,5.6489,1.60414
qm7_2911.xyz,-309.242083859963,0.1681,-7.0815,7.2496,0.56969
qm7_2912.xyz,-307.986186930451,0.3647,-7.2676,7.6323,0.61019
qm7_2913.xyz,-309.237731261343,0.3936,-6.548,6.9416,0.49943
qm7_2914.xyz,-308.047195811627,-1.9115,-7.3211,5.4096,0.95966
qm7_2915.xyz,-306.789003332994,-2.0789,-7.7501,5.6712,1.13292
qm7_2916.xyz,-309.243520745447,0.2911,-7.3314,7.6225,0.46122
qm7_2917.xyz,-307.985212961795,0.0425,-7.3203,7.3628,0.61388
qm7_2918.xyz,-309.239183419361,0.3319,-6.6523,6.9842,0.25428
qm7_2919.xyz,-306.789502812669,-2.2162,-7.3313,5.1151,1.46875
qm7_292.xyz,-250.162647569606,0.5215,-6.7069,7.2284,0.77372
qm7_2920.xyz,-273.380314509367,1.1852,-7.5389,8.7241,0.26975
qm7_2921.xyz,-307.991352956332,-0.7488,-6.7907,6.0419,0.60800
qm7_2922.xyz,-309.245451101006,0.6316,-5.8774,6.509,0.47506
qm7_2923.xyz,-308.007444872187,-0.6196,-7.3299,6.7103,1.09223
qm7_2924.xyz,-310.473076797589,1.1594,-6.221,7.3804,0.80355
qm7_2925.xyz,-310.471485513317,0.2974,-7.2995,7.5969,0.49836
qm7_2926.xyz,-309.222315316425,1.1579,-7.5282,8.6861,0.52021
qm7_2927.xyz,-309.275798409877,-1.4887,-7.1202,5.6315,0.99381
qm7_2928.xyz,-308.015875722667,-1.5669,-7.6256,6.0587,1.12826
qm7_2929.xyz,-310.475678797444,0.4063,-7.3739,7.7802,0.59030
qm7_293.xyz,-236.622097237482,1.8638,-8.7862,10.65,0.00004
qm7_2930.xyz,-309.219566659834,0.7868,-7.658,8.4448,0.57395
qm7_2931.xyz,-270.884620748005,0.728,-7.6237,8.3517,0.26953
qm7_2932.xyz,-310.471924650643,1.1454,-6.5635,7.7089,0.34281
qm7_2933.xyz,-309.260793059442,-0.487,-7.0308,6.5438,1.10807
qm7_2934.xyz,-308.008046400301,-0.564,-7.1776,6.6136,1.03815
qm7_2935.xyz,-310.468496655475,0.4486,-7.3404,7.789,0.68901
qm7_2936.xyz,-309.215239004888,1.2013,-7.3494,8.5507,0.49227
qm7_2937.xyz,-306.795298564757,-1.9078,-7.4792,5.5714,1.55420
qm7_2938.xyz,-305.531726790326,-2.1928,-7.7814,5.5886,1.57521
qm7_2939.xyz,-307.989653462488,0.0206,-7.2536,7.2742,0.83226
qm7_294.xyz,-248.906227138698,0.9478,-7.0191,7.9669,0.85043
qm7_2940.xyz,-306.732535355970,0.2634,-7.4481,7.7115,0.82154
qm7_2941.xyz,-307.987227806665,0.9584,-6.6824,7.6408,0.49238
qm7_2942.xyz,-274.636352426981,0.856,-6.5798,7.4358,0.14707
qm7_2943.xyz,-274.637040815959,1.7822,-7.895,9.6772,0.04317
qm7_2944.xyz,-309.238924142208,0.5264,-6.0797,6.6061,0.53368
qm7_2945.xyz,-309.244669228261,0.3075,-6.4653,6.7728,0.25016
qm7_2946.xyz,-308.009298442674,-0.7631,-7.4004,6.6373,0.80083
qm7_2947.xyz,-311.711870917415,1.3876,-7.5418,8.9294,0.54738
qm7_2948.xyz,-310.478513012434,0.4419,-7.3908,7.8327,0.57148
qm7_2949.xyz,-309.221592910143,0.9206,-7.6618,8.5824,0.48626
qm7_295.xyz,-267.402995235968,1.8423,-6.4492,8.2915,0.37906
qm7_2950.xyz,-310.472365902790,1.1204,-6.456,7.5764,0.40820
qm7_2951.xyz,-310.474823553976,0.5593,-6.8039,7.3632,0.59673
qm7_2952.xyz,-310.472266397191,0.116,-7.3504,7.4664,0.68519
qm7_2953.xyz,-309.220044474950,1.0197,-7.4944,8.5141,0.58741
qm7_2954.xyz,-273.406800352421,-0.5538,-6.4148,5.861,0.23373
qm7_2955.xyz,-310.509869191727,-0.1486,-7.0528,6.9042,0.98301
qm7_2956.xyz,-309.274797678390,-1.5409,-7.2056,5.6647,1.14604
qm7_2957.xyz,-308.015027907989,-1.5429,-7.7062,6.1633,1.07864
qm7_2958.xyz,-311.708932078021,1.5618,-7.5897,9.1515,0.56335
qm7_2959.xyz,-310.472029933667,0.1846,-7.4481,7.6327,0.52056
qm7_296.xyz,-264.977345735902,0.5025,-7.8068,8.3093,2.05673
qm7_2960.xyz,-309.217118031748,0.8054,-7.6763,8.4817,0.61074
qm7_2961.xyz,-310.469321824870,1.1745,-6.5408,7.7153,0.40865
qm7_2962.xyz,-343.904360821478,-2.0611,-7.3063,5.2452,1.32861
qm7_2963.xyz,-343.907178788491,-1.1162,-6.6069,5.4907,0.56631
qm7_2964.xyz,-343.903911707620,-1.0593,-6.9138,5.8545,0.68453
qm7_2965.xyz,-272.151476132109,-0.6112,-6.7389,6.1277,0.43782
qm7_2966.xyz,-343.890059106959,-1.4427,-7.2522,5.8095,1.38723
qm7_2967.xyz,-343.897201599576,-2.658,-7.3216,4.6636,0.32024
qm7_2968.xyz,-345.128850961836,0.218,-7.5052,7.7232,0.61289
qm7_2969.xyz,-343.910398301420,-2.3545,-7.173,4.8185,1.63181
qm7_297.xyz,-267.404099577178,1.6873,-5.9576,7.6449,0.64609
qm7_2970.xyz,-345.137083915296,-0.0037,-6.9938,6.9901,0.69863
qm7_2971.xyz,-346.319789999093,0.1332,-7.2529,7.3861,1.06707
qm7_2972.xyz,-345.120251861239,-1.6881,-7.3989,5.7108,1.59027
qm7_2973.xyz,-345.127128323951,-1.6434,-7.5524,5.909,1.59691
qm7_2974.xyz,-343.908693264290,-2.708,-7.1973,4.4893,0.95108
qm7_2975.xyz,-346.324361995509,0.4142,-7.2204,7.6346,0.82924
qm7_2976.xyz,-273.403305854216,-0.6609,-6.6098,5.9489,0.10272
qm7_2977.xyz,-345.112824185097,-1.1259,-7.2629,6.137,1.10050
qm7_2978.xyz,-345.131777185227,0.1995,-7.4189,7.6184,0.95274
qm7_2979.xyz,-345.124390428349,-1.8411,-7.5825,5.7414,1.30625
qm7_298.xyz,-267.407215055781,1.6,-5.8222,7.4222,0.78381
qm7_2980.xyz,-343.901330575275,-2.8552,-7.3339,4.4787,0.61724
qm7_2981.xyz,-346.321139532764,0.0618,-7.3905,7.4523,0.92039
qm7_2982.xyz,-345.115322499384,-1.1877,-7.3777,6.19,0.75615
